Position,Name,Capacity (MW),Operational Units,Region,Country,Coordinates,Latitude,Longitude,Status,Construction ,Commission,Est. Project Cost,Developer,Operator,Owner,Turbine Manufacturer ,Notes,Contact,Position2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Race Bank,573,91,North Norfolk,UK,53°16′30″N 0°50′30″E,53.275,0.8416667,Planned/Under Construction,2015,2018,£1.7bn,DONG Energy,,DONG Energy,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,OWP Albatros,550,79,North Sea,Germany,"54°30'0""N, 6°24'0""W",54.515,6.279,Planned/Under Construction,,N/A,,EnBW Albatros GmbH,,EnBW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Greater Gabbard Wind Farm,504,140,Suffolk,UK,51°52′48″N 1°56′24″E,51.88,1.94,Operational,,2012,£1.5bn,Greater Gabbard Offshore Winds Ltd,Greater Gabbard Offshore Winds Ltd,SSE; RWE Innogy,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Fécamp,500,83,,France,,49.892,0.227,Planned/Under Construction,2017,N/A,,WPD Offshore,,WPD Offshore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Arklow Bank 2,500,173,"Arklow, Irish Sea",Ireland,52.789°N 5.949°W,52.789,-5.949,Planned/Under Construction,,N/A,€2bn,SSE Renewables; GE Energy; Acciona Energía,,SSE Renewables; GE Energy,GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Cape Wind Project,468,130,"Nantucket Sound, MA",USA,41°30′6″N 70°19′6″E,41.500,-70.331,Planned/Under Construction,2014,2016,$2.6bn,Energy Management Inc.,Cape Wind Associates LLC,Energy Management Inc.,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Neart Na Gaoithe Offshore Wind Farm,448,75,"Forth Estuary, North Sea, Scotland",UK,56°16′04″N 2°19′15″W,56.2677778,-2.3208333,Planned/Under Construction,2015,2018,£1.5bn,Mainstream Renewable Power,,Mainstream Renewable Power,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Storgrundet,420,70,,Sweden,,61.145,17.464,Planned/Under Construction,2018,N/A,,WPD Offshore,,WPD Offshore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Dudgeon Offshore Wind Farm,402,67,"North Norfolk, North Sea, England",UK,53.249°N 1.39°E,53.249,1.39,Planned/Under Construction,2015,2017,£1.5bn,Dudgeon Offshore Wind Ltd (Statoil; Statkraft; Masdar),Dudgeon Offshore Wind Ltd (Statoil; Statkraft; Masdar),Statoil; Masdar; Statkraft,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Veja Mate,402,67,"Eemshaven, North Sea",Germany,"54°19'1""N, 5°52'15""E",54.318,5.872,Planned/Under Construction,2016,2018,€1.9bn,,Veja Mate Offshore Project GmbH,,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Anholt,400,111,Nørre Djurs,Denmark,56°36′00″N 11°12′36″E,56.598,11.208,Operational,,2013,€1.3bn,DONG Energy,DONG Energy,PKA A/S; PensionDanmark; DONG Energy,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Global Tech 1 ,400,80,North Sea,Germany,54°30′00″N 6°21′30″E,54.5,6.3583333,Operational,2012,2014,€1.8bn,Global Tech 1 Offshore Wind GmbH,Global Tech 1 Offshore Wind GmbH,Stadtwerke München GmbH; ENTEGA AG; Axpo International S.A.; Esportes Offshore Beteiligungs GmbH,GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Trianel Windpark Borkum I+II,400,80,North Sea,Germany,54°02′30″N 6°28′0″E,54.0416667,6.4666667,Operational,2011,2015,€1.6bn,Trianel Windkraftwerk Borkum,Trianel Windkraftwerk Borkum,Trianel GmbH; EWE AG,Areva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Bard Offshore 1,400,80,North Sea,Germany,54.36°N 5.98°E,54.36,5.98,Operational,2010,2013,€2.9bn,Bard Engineering GmbH,Offshore Wind Solutions GmbH,SudWestStorm Windpark; Ocean Breeze Energy GmbH & Co. KG,BARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
