Parâmetro,Unidade,"3/28/14
PC 4246
002-63274-20","3/28/14
PC 4246
002-63274-69","3/28/14
PC 4246
002-63274-30","5/28/14
PC 5311
002-63336-147","5/28/14
PC 5311
002-63336-144","5/28/14
PC 5311
002-63336-151","7/16/14
PC 6035
002-63384-29","7/16/14
PC 6035
002-63384-67","7/16/14
PC 6035
002-63384-30","9/17/14
PC 6452
002-63447-173","9/17/14
PC 6452
002-63447-180","9/17/14
PC 6452
002-63448-4","11/12/14
PC 6456
002-63504-13","11/12/14
PC 6456
002-63504-15","11/12/14
PC 6456
002-63504-14","1/7/15
PC 8091
002-63560-17","1/7/15
PC 8091
002-63560-19","1/7/15
PC 8091
002-63560-18","3/10/15
PC 8092
002-63622-5","3/10/15
PC 8092
002-63622-7","3/10/15
PC 8092
002-63622-6","5/21/15
PC 9452
002-63694-1","5/21/15
PC 9452
002-63694-22","5/21/15
PC 9452
002-63694-21","8/5/15
PC 9580
002-63771-12","8/5/15
PC 9580
002-63771-158","8/5/15
PC 9580
002-63771-9","10/1/15
PC 12084
002-63827-78","10/1/15
PC 12084
002-63827-77","10/1/15
PC 12084
002-63827-79",Coli.
P01,,ÁGUA SUPERFICIAL PONTO 01 SUPERFÍCIE,ÁGUA SUPERFICIAL PONTO 01 MEIO,ÁGUA SUPERFICIAL PONTO 01 FUNDO,ÁGUA SUPERFICIAL P01 P01 - SUPERFÍCIE,ÁGUA SUPERFICIAL P01 P01 - MEIO,ÁGUA SUPERFICIAL P01 P01 - FUNDO,ÁGUA SUPERFICIAL P01 SUPERFÍCIE P01 SUPERFÍCIE,ÁGUA SUPERFICIAL P01 MEIO P01 MEIO,ÁGUA SUPERFICIAL P01 FUNDO P01 FUNDO,ÁGUA SUPERFICIAL PONTO 01 SUPERFÍCIE PONTO 01 SUPERFÍCIE,ÁGUA SUPERFICIAL PONTO 01 MEIO PONTO 01 MEIO,ÁGUA SUPERFICIAL PONTO 01 FUNDO PONTO 01 FUNDO,ÁGUAS SUPERFICIAIS PONTO 01 SUPERFÍCIE PONTO 01 SUPERFÍCIE,ÁGUAS SUPERFICIAIS PONTO 01 MEIO PONTO 01 MEIO,ÁGUAS SUPERFICIAIS PONTO 01 FUNDO PONTO 01 FUNDO,ÁGUAS SUPERFÍCIAIS MARINHAS  - JANEIRO PONTO 01 SUPERFÍCIE,ÁGUAS SUPERFÍCIAIS MARINHAS  - JANEIRO PONTO 01 MEIO,ÁGUAS SUPERFÍCIAIS MARINHAS  - JANEIRO PONTO 01 FUNDO,ÁGUAS SUPERFÍCIAIS MARINHAS  - MARÇO PONTO 01 SUPERFÍCIE,ÁGUAS SUPERFÍCIAIS MARINHAS  - MARÇO PONTO 01 MEIO,ÁGUAS SUPERFÍCIAIS MARINHAS  - MARÇO PONTO 01 FUNDO,ÁGUAS SUPERFÍCIAIS MARINHAS  - MAIO PONTO 01 SUPERFÍCIE,ÁGUAS SUPERFÍCIAIS MARINHAS  - MAIO PONTO 01 MEIO ,ÁGUAS SUPERFÍCIAIS MARINHAS  - MAIO PONTO 01 FUNDO,ÁGUAS SUPERFÍCIAIS MARINHAS - AGOSTO PONTO 01 SUPERFÍCIE,ÁGUAS SUPERFÍCIAIS MARINHAS - AGOSTO PONTO 01 MEIO,ÁGUAS SUPERFÍCIAIS MARINHAS - AGOSTO PONTO 01 FUNDO,ÁGUAS SUPERFICIAIS MARINHAS - OUTUBRO PONTO 01 SUPERFÍCIE,ÁGUAS SUPERFICIAIS MARINHAS - OUTUBRO PONTO 01 MEIO,ÁGUAS SUPERFICIAIS MARINHAS - OUTUBRO PONTO 01 FUNDO,
ARSÊNIO TOTAL,mg/L,"< 0,0010",,"< 0,0010","< 0,0010",,"< 0,0010","< 0,0010",,"< 0,0010","< 0,0010",,"< 0,0010","< 0,0010",,"< 0,0010","< 0,0010",,"< 0,0010","< 0,0010",,"< 0,0010","< 0,0010",,"< 0,0010","< 0,0010",,"< 0,0010","< 0,0010",,"< 0,0010",
BÁRIO TOTAL,mg/L,"< 0,010",,"< 0,010",0.012,,0.010,0.038,,0.032,0.057,,0.04,"< 0,010",,"< 0,010","< 0,010",,"< 0,010",0.016,,0.03,0.03,,"< 0,010",0.013,,0.02,0.017,,0.01,
BORO TOTAL,mg/L,3.500,,3.649,3.913,,3.868,4.000,,4.066,4.245,,4.66,4.4,,4.43,4.585,,4.34,3.252,,4.36,4.746,,3.69,1.813,,3.01,3.56,,3.73,
CÁDMIO TOTAL,mg/L,"< 0,0010",,"< 0,0010","< 0,0010",,"< 0,0010","< 0,0010",,"< 0,0010","< 0,0010",,"< 0,0010","< 0,0010",,"< 0,0010","< 0,0010",,"< 0,0010","< 0,0010",,"< 0,0010","< 0,0010",,"< 0,0010","< 0,0010",,"< 0,0010","< 0,0010",,"< 0,0010",
CHUMBO TOTAL,mg/L,"< 0,01",,"< 0,01","< 0,01",,"< 0,01","< 0,01",,"< 0,01","< 0,01",,"< 0,01","< 0,01",,"< 0,01","< 0,01",,"< 0,01","< 0,01",,"< 0,01","< 0,01",,"< 0,01","< 0,01",,"< 0,01","< 0,01",,"< 0,01",
COBRE DISSOLVIDO,mg/L,"< 0,0010",,"< 0,0010","< 0,0010",,"< 0,0010","< 0,0010",,"< 0,0010","< 0,0010",,"< 0,0010","< 0,0010",,"< 0,0010","< 0,0010",,"< 0,0010","< 0,0010",,"< 0,0010","< 0,0010",,"< 0,0010","< 0,0010",,"< 0,0010","< 0,0010",,"< 0,0010",
FERRO DISSOLVIDO,mg/L,"< 0,010",,"< 0,010","< 0,010",,0.03,"< 0,010",,0.010,"< 0,010",,"< 0,010","< 0,010",,"< 0,010","< 0,010",,"< 0,010","< 0,010",,"< 0,010",0.031,,"< 0,010","< 0,010",,0.04,0.071,,0.03,
MERCÚRIO TOTAL,mg/L,"< 0,00010",,"< 0,00010","< 0,00010",,"< 0,00010","< 0,00010",,"< 0,00010","< 0,00010",,"< 0,00010","< 0,00010",,"< 0,00010","< 0,00010",,"< 0,00010","< 0,00010",,"< 0,00010","< 0,00010",,"< 0,00010","< 0,00010",,"< 0,00010","< 0,00010",,"< 0,00010",
NÍQUEL TOTAL,mg/L,"< 0,010",,"< 0,010","< 0,010",,"< 0,010","< 0,010",,"< 0,010","< 0,010",,"< 0,010","< 0,010",,"< 0,010","< 0,010",,"< 0,010","< 0,010",,"< 0,010","< 0,010",,"< 0,010","< 0,010",,"< 0,010","< 0,010",,"< 0,010",
