ID,Wentworth,Desvio Padrão,Dm,Desv Pad,Assimetria,Curtose,Areia,Silte,Argila,Matéria Orgânica,Carbonato
P19-ESP,Areia Grossa,Moderadamente Bem Selecionado,0.4,0.66,0.13,0.78,100.0,0.0,0.0,0.2,1.7
P19-PP,Areia Grossa,Moderadamente Bem Selecionado,0.8,0.55,-0.03,0.94,100.0,0.0,0.0,0.9,0.7
P19-ZS,Areia Grossa,Bem Selecionado,0.6,0.42,-0.18,1.29,100.0,0.0,0.0,0.2,1.1
P19-PF,Areia Muito Fina,Moderadamente Bem Selecionado,3.1,0.56,-0.12,1.07,99.2,0.8,0.0,0.2,2.8
P20-B,Areia Grossa,Moderadamente Bem Selecionado,0.6,0.55,0.00,0.96,100.0,0.0,0.0,0.0,0.7
P20-ESP,Areia Grossa,Bem Selecionado,0.5,0.47,-0.14,0.98,100.0,0.0,0.0,0.0,1.2
P20-PP,Areia Média,Moderadamente Bem Selecionado,1.2,0.58,-0.13,0.97,100.0,0.0,0.0,0.1,1.9
P20-ZS,Areia Grossa,Bem Selecionado,0.1,0.40,-0.11,1.12,100.0,0.0,0.0,0.3,1.6
P20-PF,Areia Muito Fina,Bem Selecionado,3.3,0.49,-0.17,1.08,98.3,1.7,0.0,0.6,2.8
P21-B,Areia Grossa,Bem Selecionado,0.8,0.44,0.01,1.09,100.0,0.0,0.0,0.2,0.6
P21-ESP,Areia Grossa,Bem Selecionado,0.1,0.44,-0.18,1.11,100.0,0.0,0.0,0.6,1.2
P21-PP,Areia Média,Moderadamente Bem Selecionado,1.0,0.67,-0.14,1.06,100.0,0.0,0.0,0.5,0.6
P21-ZS,Areia Grossa,Muito Bem Selecionado,0.5,0.33,0.08,0.74,100.0,0.0,0.0,0.2,3.0
P21-PF,Areia Muito Fina,Pobremente Selecionado,2.8,1.03,-0.51,0.88,98.5,1.5,0.0,0.1,2.8
P22-B,Areia Grossa,Moderadamente Bem Selecionado,1.0,0.60,0.05,0.93,100.0,0.0,0.0,0.0,1.2
P22-ESP,Areia Média,Moderadamente Bem Selecionado,1.2,0.53,-0.11,0.99,100.0,0.0,0.0,0.0,1.0
P22-PP,Areia Média,Moderadamente Bem Selecionado,1.2,0.59,-0.11,0.99,100.0,0.0,0.0,0.6,0.5
P22-ZS,Areia Grossa,Moderadamente Bem Selecionado,0.3,0.59,0.09,0.84,100.0,0.0,0.0,0.0,2.8
P22-PF,Areia Muito Fina,Moderadamente Bem Selecionado,3.2,0.67,-0.25,1.17,96.7,3.3,0.0,0.8,2.9
P23-B,Areia Grossa,Moderadamente Bem Selecionado,0.4,0.56,0.08,1.04,100.0,0.0,0.0,0.0,1.2
P23-ESP,Areia Grossa,Moderadamente Bem Selecionado,0.6,0.62,-0.09,0.87,100.0,0.0,0.0,1.3,0.9
P23-PP,Areia Média,Moderadamente Bem Selecionado,1.3,0.63,-0.10,1.10,99.9,0.1,0.0,0.1,0.9
P23-ZS,Areia Muito Grossa,Moderadamente Bem Selecionado,0.0,0.60,0.20,0.92,100.0,0.0,0.0,0.1,1.8
P23-PF,Areia Muito Fina,Moderadamente Selecionado,3.0,0.74,-0.23,0.91,97.8,2.2,0.0,0.5,2.8
P25-B,Areia Média,Moderadamente Bem Selecionado,1.2,0.56,-0.09,0.96,100.0,0.0,0.0,0.0,1.1
P25-ESP,Areia Média,Moderadamente Bem Selecionado,1.6,0.57,-0.20,1.14,100.0,0.0,0.0,0.3,1.3
P25-PP,Areia Grossa,Moderadamente Bem Selecionado,0.7,0.64,0.02,1.05,99.9,0.1,0.0,0.1,1.1
P25-ZS,Areia Grossa,Moderadamente Selecionado,0.6,0.79,0.30,0.85,100.0,0.0,0.0,0.9,2.0
P25-PF,Areia Muito Fina,Moderadamente Bem Selecionado,3.2,0.62,-0.27,1.19,98.3,1.7,0.0,0.2,2.7
P26-B,Areia Grossa,Moderadamente Bem Selecionado,0.9,0.63,-0.13,1.07,100.0,0.0,0.0,0.0,1.6
P26-ESP,Areia Grossa,Moderadamente Selecionado,0.7,0.70,0.12,0.90,100.0,0.0,0.0,0.2,1.6
P26-PP,Areia Média,Moderadamente Bem Selecionado,1.3,0.60,-0.09,1.10,100.0,0.0,0.0,0.5,1.0
P26-ZS,Areia Grossa,Moderadamente Selecionado,0.6,0.76,0.04,0.76,100.0,0.0,0.0,0.6,1.4
P26-PF,Areia Muito Fina,Moderadamente Bem Selecionado,3.2,0.62,-0.27,1.04,96.2,3.8,0.0,1.2,2.6
P27-B,Areia Grossa,Moderadamente Bem Selecionado,0.9,0.60,-0.10,1.10,100.0,0.0,0.0,0.7,1.6
P27-ESP,Areia Média,Bem Selecionado,1.0,0.46,-0.07,1.03,100.0,0.0,0.0,0.7,1.2
P27-PP,Areia Grossa,Moderadamente Bem Selecionado,0.8,0.62,-0.01,1.00,100.0,0.0,0.0,0.3,0.7
P27-ZS,Areia Grossa,Moderadamente Bem Selecionado,0.3,0.59,0.11,0.76,100.0,0.0,0.0,0.5,1.5
P27-PF,Areia Fina,Moderadamente Selecionado,2.5,0.77,-0.05,1.03,99.8,0.2,0.0,1.6,2.6
P28-B,Areia Grossa,Moderadamente Bem Selecionado,0.9,0.64,-0.17,1.13,100.0,0.0,0.0,0.3,1.3
P28-ESP,Areia Grossa,Moderadamente Bem Selecionado,0.8,0.63,-0.16,1.09,100.0,0.0,0.0,0.2,1.9
P28-PP,Areia Grossa,Moderadamente Bem Selecionado,0.2,0.59,0.01,1.02,100.0,0.0,0.0,0.6,0.9
P28-ZS,Areia Grossa,Moderadamente Bem Selecionado,0.4,0.61,0.01,0.78,100.0,0.0,0.0,0.7,1.5
P28-PF,Areia Muito Fina,Moderadamente Bem Selecionado,3.1,0.66,-0.19,1.14,99.0,1.0,0.0,1.0,2.0
P29-B,Areia Grossa,Bem Selecionado,0.8,0.45,0.00,0.99,100.0,0.0,0.0,0.0,1.2
P29-ESP,Areia Grossa,Moderadamente Bem Selecionado,0.9,0.59,-0.15,1.08,100.0,0.0,0.0,0.5,2.2
P29-PP,Areia Média,Moderadamente Bem Selecionado,1.2,0.59,-0.10,0.86,100.0,0.0,0.0,0.7,1.2
P29-ZS,Areia Muito Grossa,Moderadamente Bem Selecionado,0.0,0.54,0.29,1.06,100.0,0.0,0.0,0.3,1.6
P29-PF,Areia Muito Fina,Moderadamente Bem Selecionado,3.2,0.53,-0.14,1.03,98.3,1.7,0.0,0.3,2.0
P30-B,Areia Grossa,Bem Selecionado,0.8,0.43,0.02,1.18,100.0,0.0,0.0,0.2,0.7
P30-ESP,Areia Média,Bem Selecionado,1.0,0.47,-0.03,1.04,100.0,0.0,0.0,0.7,1.1
P30-PP,Areia Grossa,Moderadamente Bem Selecionado,0.9,0.62,-0.08,1.10,100.0,0.0,0.0,0.1,0.9
P30-ZS,Areia Grossa,Moderadamente Bem Selecionado,0.6,0.57,-0.17,0.95,100.0,0.0,0.0,0.0,1.3
P30-PF,Areia Muito Fina,Moderadamente Bem Selecionado,3.5,0.58,-0.34,1.60,96.7,3.3,0.0,0.4,4.7
P31-B,Areia Grossa,Moderadamente Bem Selecionado,0.8,0.70,-0.00,0.97,100.0,0.0,0.0,0.1,1.1
P31-ESP,Areia Grossa,Bem Selecionado,0.6,0.43,-0.18,1.10,100.0,0.0,0.0,0.5,1.2
P31-PP,Areia Grossa,Moderadamente Bem Selecionado,0.7,0.68,0.11,0.99,100.0,0.0,0.0,0.1,0.8
P31-ZS,Areia Grossa,Bem Selecionado,0.1,0.44,0.16,0.85,100.0,0.0,0.0,0.3,2.4
P31-PF,Areia Muito Fina,Moderadamente Bem Selecionado,3.3,0.51,-0.15,1.08,98.8,1.2,0.0,0.1,3.0
P32-B,Areia Grossa,Moderadamente Bem Selecionado,0.5,0.52,-0.12,0.98,100.0,0.0,0.0,0.7,0.7
P32-ESP,Areia Grossa,Bem Selecionado,0.1,0.43,0.18,0.89,100.0,0.0,0.0,0.1,1.3
P32-PP,Areia Grossa,Moderadamente Bem Selecionado,0.9,0.64,0.06,0.88,100.0,0.0,0.0,0.5,1.1
P32-ZS,Areia Muito Grossa,Muito Bem Selecionado,-0.1,0.33,0.23,1.27,100.0,0.0,0.0,0.7,1.6
P32-PF,Areia Muito Fina,Bem Selecionado,3.4,0.46,-0.15,0.97,98.0,2.0,0.0,1.0,1.5
P33-B,Areia Grossa,Moderadamente Bem Selecionado,0.7,0.65,0.07,1.09,100.0,0.0,0.0,0.3,1.0
P33-ESP,Areia Grossa,Muito Bem Selecionado,0.5,0.34,-0.06,0.74,100.0,0.0,0.0,0.2,1.2
P33-PP,Areia Grossa,Moderadamente Selecionado,0.6,0.74,0.11,0.86,100.0,0.0,0.0,0.1,0.9
P33-ZS,Areia Muito Grossa,Bem Selecionado,-0.1,0.46,0.06,1.66,100.0,0.0,0.0,0.6,1.4
P33-PF,Areia Muito Fina,Moderadamente Bem Selecionado,3.2,0.68,-0.29,1.09,98.8,1.2,0.0,0.9,1.2
P34-B,Areia Grossa,Moderadamente Selecionado,0.6,0.72,0.04,0.94,100.0,0.0,0.0,0.1,1.1
P34-ESP,Areia Grossa,Bem Selecionado,0.4,0.46,0.14,1.18,100.0,0.0,0.0,0.3,1.6
P34-PP,Areia Média,Moderadamente Bem Selecionado,1.1,0.56,0.06,1.05,100.0,0.0,0.0,0.0,0.9
P34-ZS,Areia Muito Grossa,Bem Selecionado,-0.1,0.45,0.30,1.47,100.0,0.0,0.0,0.4,1.2
P34-PF,Areia Muito Fina,Moderadamente Bem Selecionado,3.3,0.54,-0.23,1.12,95.8,4.2,0.0,0.0,1.5
P35-B,Areia Média,Moderadamente Selecionado,1.7,0.71,-0.12,1.19,100.0,0.0,0.0,0.1,1.2
P35-ESP,Areia Grossa,Moderadamente Bem Selecionado,0.3,0.52,0.07,1.11,100.0,0.0,0.0,0.7,1.5
